payment_id,subscription_id,customer_id,payment_date,amount_inr,payment_method,payment_status,gateway
PAY0000001,SUB000001,CUST00001,2023-10-17,402.3,Net Banking,Success,PayU
PAY0000002,SUB000001,CUST00001,2024-01-15,402.3,Credit Card,Success,PayU
PAY0000003,SUB000001,CUST00001,2024-04-14,402.3,Debit Card,Success,Cashfree
PAY0000004,SUB000001,CUST00001,2024-07-13,402.3,Net Banking,Success,Cashfree
PAY0000005,SUB000001,CUST00001,2024-10-11,402.3,Debit Card,Success,Paytm
PAY0000006,SUB000002,CUST00002,2022-09-08,499.0,Net Banking,Success,Razorpay
PAY0000007,SUB000002,CUST00002,2022-10-08,499.0,Debit Card,Success,Paytm
PAY0000008,SUB000003,CUST00003,2023-11-24,149.0,Credit Card,Success,Razorpay
PAY0000009,SUB000003,CUST00003,2023-12-24,149.0,Wallet,Success,Paytm
PAY0000010,SUB000003,CUST00003,2024-01-23,149.0,Wallet,Success,Cashfree
PAY0000011,SUB000003,CUST00003,2024-02-22,149.0,Credit Card,Success,Razorpay
PAY0000012,SUB000003,CUST00003,2024-03-23,149.0,Wallet,Success,Cashfree
PAY0000013,SUB000003,CUST00003,2024-04-22,149.0,Net Banking,Success,PayU
PAY0000014,SUB000003,CUST00003,2024-05-22,149.0,Credit Card,Success,PayU
PAY0000015,SUB000003,CUST00003,2024-06-21,149.0,UPI,Success,Cashfree
PAY0000016,SUB000003,CUST00003,2024-07-21,149.0,Credit Card,Success,Paytm
PAY0000017,SUB000003,CUST00003,2024-08-20,149.0,Net Banking,Success,Paytm
PAY0000018,SUB000003,CUST00003,2024-09-19,149.0,Net Banking,Success,Razorpay
PAY0000019,SUB000003,CUST00003,2024-10-19,149.0,Credit Card,Success,PayU
PAY0000020,SUB000003,CUST00003,2024-11-18,149.0,Wallet,Failed,Paytm
PAY0000021,SUB000003,CUST00003,2024-12-18,149.0,Net Banking,Success,Paytm
PAY0000022,SUB000004,CUST00004,2022-02-02,299.0,UPI,Success,Cashfree
PAY0000023,SUB000004,CUST00004,2022-03-04,299.0,Wallet,Success,Razorpay
