subscription_id,customer_id,plan_name,billing_cycle,price_inr,start_date,end_date,status,auto_renew,cancellation_reason
SUB000001,CUST00001,Basic,Quarterly,402.3,17-10-2023,,Active,0,
SUB000002,CUST00002,Family,Monthly,499,08-09-2022,22-10-2022,Cancelled,1,Poor Streaming Quality
SUB000003,CUST00003,Basic,Monthly,149,24-11-2023,,Active,1,
SUB000004,CUST00004,Standard,Monthly,299,02-02-2022,04-05-2022,Cancelled,0,Technical Issues
SUB000005,CUST00005,Standard,Annual,2990,02-06-2023,,Active,1,
SUB000006,CUST00006,Basic,Quarterly,402.3,04-01-2024,,Active,1,
SUB000007,CUST00007,Basic,Annual,1490,05-04-2023,19-06-2024,Cancelled,1,Content Not Relevant
SUB000008,CUST00008,Basic,Annual,1490,16-12-2023,,Active,1,
SUB000009,CUST00009,Standard,Quarterly,807.3,09-08-2022,02-04-2024,Cancelled,1,Switching to Competitor
SUB000010,CUST00010,Standard,Monthly,299,10-04-2022,,Paused,0,
SUB000011,CUST00011,Standard,Monthly,299,06-04-2024,,Active,0,
SUB000012,CUST00012,Family,Monthly,499,23-01-2023,25-06-2023,Cancelled,1,Temporary Pause
SUB000013,CUST00013,Premium,Quarterly,1752.3,25-06-2024,,Active,0,
SUB000014,CUST00014,Premium,Quarterly,1752.3,16-02-2022,14-11-2023,Cancelled,0,Content Not Relevant
SUB000015,CUST00015,Standard,Quarterly,807.3,25-05-2024,,Active,0,
SUB000016,CUST00016,Standard,Quarterly,807.3,10-04-2023,,Active,0,
SUB000017,CUST00017,Standard,Quarterly,807.3,30-12-2022,,Active,0,
SUB000018,CUST00018,Basic,Annual,1490,16-09-2023,,Active,0,
SUB000019,CUST00019,Family,Quarterly,1347.3,17-06-2022,20-05-2024,Cancelled,1,Too Expensive
SUB000020,CUST00020,Family,Monthly,499,13-08-2022,,Active,0,
SUB000021,CUST00021,Standard,Monthly,299,04-04-2024,,Paused,0,
SUB000022,CUST00022,Premium,Annual,6490,05-08-2022,,Paused,0,
SUB000023,CUST00023,Basic,Annual,1490,10-02-2023,,Active,0,
SUB000024,CUST00024,Standard,Monthly,299,23-05-2022,,Paused,0,
SUB000025,CUST00025,Standard,Monthly,299,04-02-2024,,Active,1,
SUB000026,CUST00026,Standard,Monthly,299,06-01-2023,,Active,0,
SUB000027,CUST00027,Basic,Quarterly,402.3,04-04-2022,,Active,1,
SUB000028,CUST00028,Basic,Annual,1490,22-03-2024,,Active,1,
SUB000029,CUST00029,Family,Quarterly,1347.3,26-01-2023,11-09-2024,Cancelled,0,Technical Issues
SUB000030,CUST00030,Basic,Annual,1490,21-07-2023,,Active,0,
SUB000031,CUST00031,Standard,Monthly,299,08-02-2024,,Active,1,
SUB000032,CUST00032,Standard,Annual,2990,22-03-2023,31-12-2024,Cancelled,0,Technical Issues
SUB000033,CUST00033,Premium,Annual,6490,28-05-2023,,Active,0,
SUB000034,CUST00034,Basic,Annual,1490,11-05-2024,,Active,0,
SUB000035,CUST00035,Standard,Quarterly,807.3,06-06-2022,15-11-2023,Cancelled,0,Too Expensive
SUB000036,CUST00036,Premium,Quarterly,1752.3,01-01-2022,,Paused,1,
SUB000037,CUST00037,Basic,Annual,1490,25-04-2022,,Active,0,
SUB000038,CUST00038,Premium,Annual,6490,04-09-2022,31-12-2024,Cancelled,1,
SUB000039,CUST00039,Standard,Quarterly,807.3,15-04-2024,05-10-2024,Cancelled,0,Too Expensive
SUB000040,CUST00040,Family,Monthly,499,07-11-2023,,Paused,1,
SUB000041,CUST00041,Family,Monthly,499,25-06-2023,12-10-2023,Cancelled,1,Content Not Relevant
SUB000042,CUST00042,Basic,Quarterly,402.3,13-02-2024,,Active,1,
SUB000043,CUST00043,Basic,Quarterly,402.3,25-03-2023,05-06-2024,Cancelled,1,Found Free Alternative
SUB000044,CUST00044,Standard,Monthly,299,19-08-2022,,Paused,1,
SUB000045,CUST00045,Standard,Annual,2990,22-07-2023,31-12-2024,Cancelled,1,Poor Streaming Quality
SUB000046,CUST00046,Standard,Annual,2990,14-03-2022,17-08-2024,Cancelled,1,
SUB000047,CUST00047,Basic,Annual,1490,02-02-2022,,Active,1,
SUB000048,CUST00048,Standard,Annual,2990,13-10-2022,31-12-2024,Cancelled,1,Content Not Relevant
SUB000049,CUST00049,Standard,Quarterly,807.3,16-05-2022,18-04-2024,Cancelled,0,Too Expensive
SUB000050,CUST00050,Standard,Quarterly,807.3,14-03-2024,,Active,1,
SUB000051,CUST00051,Standard,Annual,2990,10-04-2022,,Paused,0,
SUB000052,CUST00052,Standard,Monthly,299,25-02-2023,30-03-2023,Cancelled,0,Content Not Relevant
SUB000053,CUST00053,Standard,Monthly,299,04-03-2022,,Active,0,
SUB000054,CUST00054,Standard,Quarterly,807.3,16-07-2022,,Paused,1,
SUB000055,CUST00055,Basic,Monthly,149,09-03-2023,26-06-2023,Cancelled,0,Poor Streaming Quality
SUB000056,CUST00056,Standard,Annual,2990,14-06-2024,,Active,0,
SUB000057,CUST00057,Premium,Monthly,649,21-02-2022,10-06-2022,Cancelled,0,Found Free Alternative
SUB000058,CUST00058,Basic,Monthly,149,11-02-2024,,Active,1,
SUB000059,CUST00059,Basic,Annual,1490,08-05-2023,,Paused,1,
SUB000060,CUST00060,Basic,Monthly,149,24-01-2023,,Active,1,
SUB000061,CUST00061,Standard,Annual,2990,20-10-2022,,Paused,0,
SUB000062,CUST00062,Standard,Annual,2990,08-06-2022,,Active,0,
SUB000063,CUST00063,Basic,Quarterly,402.3,17-08-2023,31-12-2024,Cancelled,1,
SUB000064,CUST00064,Basic,Monthly,149,28-02-2022,,Active,1,
SUB000065,CUST00065,Standard,Monthly,299,23-05-2024,,Active,0,
SUB000066,CUST00066,Standard,Quarterly,807.3,24-03-2022,28-06-2022,Cancelled,1,Too Expensive
SUB000067,CUST00067,Basic,Monthly,149,23-11-2023,,Active,1,
SUB000068,CUST00068,Standard,Annual,2990,10-09-2022,,Active,1,
SUB000069,CUST00069,Family,Monthly,499,25-03-2022,07-06-2022,Cancelled,1,Temporary Pause
SUB000070,CUST00070,Premium,Quarterly,1752.3,20-11-2022,,Active,1,
SUB000071,CUST00071,Basic,Monthly,149,02-09-2022,,Active,1,
SUB000072,CUST00072,Premium,Monthly,649,14-04-2023,,Active,1,
SUB000073,CUST00073,Family,Quarterly,1347.3,29-09-2023,,Active,1,
SUB000074,CUST00074,Standard,Annual,2990,07-08-2022,,Paused,0,
SUB000075,CUST00075,Basic,Monthly,149,21-06-2024,,Active,1,
SUB000076,CUST00076,Basic,Quarterly,402.3,11-06-2022,,Active,0,
SUB000077,CUST00077,Standard,Annual,2990,19-09-2023,31-12-2024,Cancelled,0,Technical Issues
SUB000078,CUST00078,Premium,Quarterly,1752.3,03-11-2022,,Active,1,
SUB000079,CUST00079,Basic,Quarterly,402.3,29-04-2022,,Paused,1,
SUB000080,CUST00080,Premium,Quarterly,1752.3,16-10-2022,,Active,1,
SUB000081,CUST00081,Standard,Annual,2990,28-07-2022,,Active,1,
SUB000082,CUST00082,Standard,Monthly,299,15-09-2022,18-01-2023,Cancelled,0,
SUB000083,CUST00083,Premium,Quarterly,1752.3,29-04-2024,,Paused,0,
SUB000084,CUST00084,Family,Annual,4990,29-02-2024,,Active,1,
SUB000085,CUST00085,Premium,Quarterly,1752.3,19-07-2023,,Paused,1,
SUB000086,CUST00086,Standard,Quarterly,807.3,19-03-2022,,Active,1,
SUB000087,CUST00087,Standard,Monthly,299,20-08-2023,,Active,1,
SUB000088,CUST00088,Standard,Monthly,299,12-02-2022,,Paused,0,
SUB000089,CUST00089,Standard,Quarterly,807.3,04-08-2022,,Paused,1,
SUB000090,CUST00090,Standard,Quarterly,807.3,24-06-2024,31-12-2024,Cancelled,1,Switching to Competitor
SUB000091,CUST00091,Standard,Quarterly,807.3,31-08-2022,,Active,1,
SUB000092,CUST00092,Basic,Annual,1490,03-07-2022,,Active,1,
SUB000093,CUST00093,Family,Monthly,499,01-10-2022,31-01-2023,Cancelled,1,Technical Issues
SUB000094,CUST00094,Standard,Annual,2990,29-05-2024,31-12-2024,Cancelled,0,Temporary Pause
SUB000095,CUST00095,Basic,Annual,1490,25-12-2022,,Active,1,
SUB000096,CUST00096,Premium,Quarterly,1752.3,07-11-2023,,Paused,1,
SUB000097,CUST00097,Premium,Annual,6490,04-06-2024,31-12-2024,Cancelled,1,Poor Streaming Quality
SUB000098,CUST00098,Basic,Annual,1490,14-02-2023,,Paused,1,
SUB000099,CUST00099,Standard,Annual,2990,17-06-2024,,Paused,1,
SUB000100,CUST00100,Premium,Quarterly,1752.3,09-02-2022,,Paused,0,
SUB000101,CUST00101,Standard,Quarterly,807.3,17-01-2024,,Active,1,
SUB000102,CUST00102,Basic,Monthly,149,29-04-2022,03-12-2022,Cancelled,1,
SUB000103,CUST00103,Premium,Quarterly,1752.3,15-02-2022,19-07-2023,Cancelled,1,Poor Streaming Quality
SUB000104,CUST00104,Premium,Annual,6490,05-12-2023,,Active,0,
SUB000105,CUST00105,Basic,Monthly,149,13-03-2022,,Active,1,
SUB000106,CUST00106,Standard,Annual,2990,11-11-2023,,Paused,1,
SUB000107,CUST00107,Basic,Quarterly,402.3,14-11-2023,31-12-2024,Cancelled,1,
SUB000108,CUST00108,Basic,Annual,1490,22-07-2023,,Active,1,
SUB000109,CUST00109,Basic,Annual,1490,25-11-2023,,Active,0,
SUB000110,CUST00110,Standard,Monthly,299,20-02-2023,08-04-2023,Cancelled,1,Temporary Pause
SUB000111,CUST00111,Basic,Quarterly,402.3,04-08-2022,,Active,1,
SUB000112,CUST00112,Basic,Annual,1490,22-04-2023,31-12-2024,Cancelled,1,Poor Streaming Quality
SUB000113,CUST00113,Basic,Monthly,149,08-06-2023,23-10-2023,Cancelled,1,Content Not Relevant
SUB000114,CUST00114,Standard,Monthly,299,18-10-2022,08-01-2023,Cancelled,1,Poor Streaming Quality
SUB000115,CUST00115,Premium,Annual,6490,18-04-2024,,Active,0,
SUB000116,CUST00116,Basic,Annual,1490,31-05-2022,,Active,1,
SUB000117,CUST00117,Basic,Monthly,149,18-09-2023,,Paused,0,
SUB000118,CUST00118,Premium,Annual,6490,19-07-2022,31-12-2024,Cancelled,1,
SUB000119,CUST00119,Standard,Monthly,299,01-06-2022,,Active,0,
SUB000120,CUST00120,Premium,Quarterly,1752.3,13-08-2022,11-09-2023,Cancelled,1,Switching to Competitor
SUB000121,CUST00121,Standard,Monthly,299,25-07-2023,,Paused,1,
SUB000122,CUST00122,Standard,Annual,2990,31-03-2024,31-12-2024,Cancelled,1,Poor Streaming Quality
SUB000123,CUST00123,Standard,Monthly,299,21-11-2022,30-01-2023,Cancelled,1,Temporary Pause
SUB000124,CUST00124,Standard,Monthly,299,13-03-2023,,Active,1,
SUB000125,CUST00125,Standard,Annual,2990,06-04-2023,31-12-2024,Cancelled,1,Content Not Relevant
SUB000126,CUST00126,Standard,Quarterly,807.3,24-02-2024,,Active,1,
SUB000127,CUST00127,Basic,Monthly,149,09-10-2022,,Active,0,
SUB000128,CUST00128,Standard,Annual,2990,29-08-2022,,Active,0,
SUB000129,CUST00129,Standard,Monthly,299,24-03-2022,,Active,1,
SUB000130,CUST00130,Basic,Monthly,149,12-12-2023,20-07-2024,Cancelled,1,
SUB000131,CUST00131,Standard,Monthly,299,22-02-2023,,Active,0,
SUB000132,CUST00132,Family,Monthly,499,05-03-2022,,Active,1,
SUB000133,CUST00133,Basic,Monthly,149,14-12-2023,,Active,1,
SUB000134,CUST00134,Basic,Annual,1490,07-01-2022,,Active,0,
SUB000135,CUST00135,Premium,Annual,6490,06-07-2023,31-12-2024,Cancelled,1,Switching to Competitor
SUB000136,CUST00136,Basic,Monthly,149,13-08-2022,,Active,1,
SUB000137,CUST00137,Standard,Annual,2990,03-02-2023,,Active,1,
SUB000138,CUST00138,Standard,Quarterly,807.3,10-05-2024,12-08-2024,Cancelled,1,Poor Streaming Quality
SUB000139,CUST00139,Premium,Monthly,649,28-01-2022,,Active,1,
SUB000140,CUST00140,Basic,Quarterly,402.3,27-03-2022,09-07-2022,Cancelled,1,Technical Issues
SUB000141,CUST00141,Standard,Monthly,299,06-07-2022,29-08-2022,Cancelled,0,Switching to Competitor
SUB000142,CUST00142,Premium,Monthly,649,05-08-2022,,Active,1,
SUB000143,CUST00143,Standard,Annual,2990,12-10-2022,31-12-2024,Cancelled,0,Poor Streaming Quality
SUB000144,CUST00144,Family,Monthly,499,20-01-2022,18-03-2022,Cancelled,1,Found Free Alternative
SUB000145,CUST00145,Basic,Quarterly,402.3,28-10-2023,,Active,1,
SUB000146,CUST00146,Basic,Monthly,149,24-07-2022,19-03-2023,Cancelled,1,Found Free Alternative
SUB000147,CUST00147,Basic,Monthly,149,10-05-2022,,Paused,1,
SUB000148,CUST00148,Premium,Annual,6490,22-04-2023,31-12-2024,Cancelled,0,Found Free Alternative
SUB000149,CUST00149,Family,Annual,4990,14-09-2023,,Active,1,
SUB000150,CUST00150,Basic,Annual,1490,16-08-2023,31-12-2024,Cancelled,1,Found Free Alternative
SUB000151,CUST00151,Basic,Annual,1490,11-02-2023,,Active,0,
SUB000152,CUST00152,Standard,Monthly,299,15-04-2022,19-10-2022,Cancelled,1,Temporary Pause
SUB000153,CUST00153,Basic,Quarterly,402.3,12-03-2024,,Active,1,
SUB000154,CUST00154,Basic,Quarterly,402.3,09-11-2023,11-07-2024,Cancelled,1,Technical Issues
SUB000155,CUST00155,Standard,Monthly,299,13-01-2022,,Paused,0,
SUB000156,CUST00156,Premium,Monthly,649,06-01-2023,19-07-2023,Cancelled,1,Poor Streaming Quality
SUB000157,CUST00157,Standard,Quarterly,807.3,22-03-2023,,Active,0,
SUB000158,CUST00158,Standard,Monthly,299,23-09-2023,05-11-2023,Cancelled,0,Technical Issues
SUB000159,CUST00159,Premium,Annual,6490,25-04-2024,,Paused,0,
SUB000160,CUST00160,Standard,Quarterly,807.3,30-04-2024,,Active,1,
