view_id,customer_id,subscription_id,watch_date,genre,platform,duration_mins,content_type,completed
VIEW0000001,CUST00001,SUB000001,30-11-2024,Comedy,Tablet,83,Series,1
VIEW0000002,CUST00001,SUB000001,19-09-2024,Horror,Tablet,118,Series,1
VIEW0000003,CUST00001,SUB000001,30-11-2023,Romance,Web,56,Short,0
VIEW0000004,CUST00001,SUB000001,26-12-2023,Documentary,Smart TV,66,Short,1
VIEW0000005,CUST00001,SUB000001,07-06-2024,Drama,Tablet,41,Documentary,1
VIEW0000006,CUST00001,SUB000001,27-05-2024,Romance,Tablet,140,Short,0
VIEW0000007,CUST00001,SUB000001,26-05-2024,Action,Smart TV,103,Short,1
VIEW0000008,CUST00001,SUB000001,11-02-2024,Drama,Mobile,107,Documentary,1
VIEW0000009,CUST00001,SUB000001,18-11-2024,Action,Web,161,Documentary,1
VIEW0000010,CUST00001,SUB000001,27-08-2024,Romance,Smart TV,35,Series,0
VIEW0000011,CUST00001,SUB000001,15-04-2024,Horror,Mobile,158,Movie,1
VIEW0000012,CUST00001,SUB000001,17-09-2024,Romance,Mobile,107,Movie,1
VIEW0000013,CUST00001,SUB000001,23-05-2024,Sci-Fi,Smart TV,180,Movie,1
VIEW0000014,CUST00001,SUB000001,09-09-2024,Horror,Web,179,Series,1
VIEW0000015,CUST00001,SUB000001,12-01-2024,Thriller,Tablet,87,Movie,1
VIEW0000016,CUST00001,SUB000001,28-10-2024,Romance,Web,44,Series,0
VIEW0000017,CUST00001,SUB000001,18-05-2024,Action,Web,128,Short,1
VIEW0000018,CUST00001,SUB000001,10-10-2024,Comedy,Smart TV,19,Documentary,0
VIEW0000019,CUST00001,SUB000001,07-07-2024,Thriller,Tablet,90,Short,0
VIEW0000020,CUST00001,SUB000001,16-04-2024,Documentary,Mobile,41,Series,1
VIEW0000021,CUST00001,SUB000001,14-06-2024,Drama,Mobile,89,Documentary,1
VIEW0000022,CUST00001,SUB000001,07-11-2023,Action,Tablet,120,Short,1
VIEW0000023,CUST00001,SUB000001,24-04-2024,Horror,Tablet,161,Short,0
VIEW0000024,CUST00001,SUB000001,23-12-2023,Romance,Mobile,167,Documentary,0
VIEW0000025,CUST00001,SUB000001,04-03-2024,Drama,Smart TV,172,Short,1
VIEW0000026,CUST00001,SUB000001,05-06-2024,Sci-Fi,Tablet,111,Short,1
VIEW0000027,CUST00001,SUB000001,07-08-2024,Horror,Web,151,Series,1
VIEW0000028,CUST00001,SUB000001,20-03-2024,Drama,Tablet,84,Series,1
VIEW0000029,CUST00001,SUB000001,17-10-2024,Action,Smart TV,55,Documentary,1
VIEW0000030,CUST00001,SUB000001,13-03-2024,Sci-Fi,Mobile,156,Movie,0
VIEW0000031,CUST00001,SUB000001,22-12-2024,Horror,Mobile,17,Series,0
VIEW0000032,CUST00001,SUB000001,26-12-2023,Comedy,Tablet,179,Short,0
VIEW0000033,CUST00001,SUB000001,20-05-2024,Documentary,Web,112,Documentary,1
VIEW0000034,CUST00001,SUB000001,19-03-2024,Thriller,Smart TV,29,Documentary,0
VIEW0000035,CUST00003,SUB000003,26-04-2024,Action,Tablet,97,Documentary,1
VIEW0000036,CUST00003,SUB000003,24-04-2024,Horror,Web,173,Movie,0
VIEW0000037,CUST00003,SUB000003,02-01-2024,Thriller,Tablet,142,Documentary,1
VIEW0000038,CUST00003,SUB000003,26-07-2024,Romance,Mobile,48,Series,0
VIEW0000039,CUST00003,SUB000003,10-08-2024,Documentary,Tablet,129,Movie,0
VIEW0000040,CUST00003,SUB000003,31-03-2024,Romance,Smart TV,126,Movie,0
VIEW0000041,CUST00003,SUB000003,09-06-2024,Romance,Mobile,63,Movie,1
VIEW0000042,CUST00003,SUB000003,12-12-2023,Action,Tablet,40,Series,1
VIEW0000043,CUST00003,SUB000003,30-11-2024,Sci-Fi,Tablet,30,Short,1
VIEW0000044,CUST00003,SUB000003,20-07-2024,Action,Web,26,Movie,0
VIEW0000045,CUST00003,SUB000003,25-02-2024,Drama,Web,90,Short,1
VIEW0000046,CUST00003,SUB000003,13-05-2024,Thriller,Web,78,Movie,1
VIEW0000047,CUST00003,SUB000003,28-06-2024,Horror,Tablet,50,Movie,1
VIEW0000048,CUST00005,SUB000005,01-05-2024,Horror,Tablet,16,Movie,0
VIEW0000049,CUST00005,SUB000005,04-11-2023,Sci-Fi,Smart TV,22,Movie,1
VIEW0000050,CUST00005,SUB000005,01-10-2023,Comedy,Mobile,28,Short,1
VIEW0000051,CUST00005,SUB000005,07-11-2023,Horror,Mobile,90,Short,1
VIEW0000052,CUST00005,SUB000005,03-11-2023,Documentary,Tablet,176,Movie,0
VIEW0000053,CUST00005,SUB000005,07-03-2024,Drama,Mobile,84,Short,1
VIEW0000054,CUST00005,SUB000005,16-11-2024,Documentary,Tablet,79,Documentary,0
VIEW0000055,CUST00005,SUB000005,06-11-2024,Action,Mobile,179,Short,0
VIEW0000056,CUST00005,SUB000005,25-04-2024,Comedy,Tablet,12,Short,0
VIEW0000057,CUST00005,SUB000005,21-09-2023,Sci-Fi,Smart TV,103,Short,1
VIEW0000058,CUST00005,SUB000005,25-12-2023,Documentary,Web,148,Movie,1
VIEW0000059,CUST00005,SUB000005,10-10-2023,Comedy,Web,24,Short,1
VIEW0000060,CUST00005,SUB000005,24-12-2024,Horror,Web,111,Documentary,0
VIEW0000061,CUST00005,SUB000005,05-07-2023,Comedy,Smart TV,99,Short,0
VIEW0000062,CUST00005,SUB000005,18-05-2024,Documentary,Smart TV,52,Documentary,1
VIEW0000063,CUST00005,SUB000005,14-10-2024,Action,Mobile,93,Documentary,1
VIEW0000064,CUST00005,SUB000005,19-11-2024,Romance,Smart TV,54,Series,0
VIEW0000065,CUST00005,SUB000005,05-07-2023,Drama,Mobile,114,Movie,0
VIEW0000066,CUST00005,SUB000005,26-07-2024,Comedy,Web,149,Short,0
VIEW0000067,CUST00005,SUB000005,19-08-2024,Drama,Web,102,Movie,1
VIEW0000068,CUST00005,SUB000005,14-09-2023,Action,Mobile,57,Documentary,1
VIEW0000069,CUST00005,SUB000005,31-10-2023,Drama,Web,7,Documentary,0
VIEW0000070,CUST00005,SUB000005,07-11-2024,Horror,Mobile,17,Documentary,1
VIEW0000071,CUST00005,SUB000005,02-05-2024,Documentary,Mobile,97,Short,1
VIEW0000072,CUST00005,SUB000005,30-06-2024,Comedy,Web,152,Short,1
VIEW0000073,CUST00005,SUB000005,01-08-2024,Romance,Tablet,162,Movie,0
VIEW0000074,CUST00005,SUB000005,16-03-2024,Sci-Fi,Tablet,135,Short,0
VIEW0000075,CUST00005,SUB000005,09-06-2023,Sci-Fi,Mobile,159,Movie,0
VIEW0000076,CUST00005,SUB000005,17-04-2024,Action,Smart TV,101,Movie,1
VIEW0000077,CUST00005,SUB000005,11-10-2023,Horror,Tablet,39,Short,0
VIEW0000078,CUST00005,SUB000005,09-09-2023,Action,Web,29,Short,1
VIEW0000079,CUST00005,SUB000005,27-06-2023,Documentary,Mobile,66,Series,1
VIEW0000080,CUST00005,SUB000005,15-11-2023,Romance,Tablet,128,Documentary,1
VIEW0000081,CUST00005,SUB000005,05-08-2024,Documentary,Mobile,113,Short,1
VIEW0000082,CUST00005,SUB000005,29-07-2023,Action,Mobile,6,Documentary,0
VIEW0000083,CUST00005,SUB000005,08-11-2023,Horror,Tablet,48,Series,1
VIEW0000084,CUST00005,SUB000005,22-11-2024,Sci-Fi,Smart TV,34,Short,0
VIEW0000085,CUST00005,SUB000005,02-09-2024,Action,Web,71,Series,1
VIEW0000086,CUST00005,SUB000005,04-09-2023,Documentary,Mobile,174,Movie,1
VIEW0000087,CUST00005,SUB000005,26-01-2024,Sci-Fi,Tablet,165,Movie,1
VIEW0000088,CUST00005,SUB000005,29-11-2024,Thriller,Web,170,Short,0
VIEW0000089,CUST00005,SUB000005,15-03-2024,Thriller,Tablet,77,Documentary,1
VIEW0000090,CUST00005,SUB000005,01-08-2023,Horror,Web,107,Short,1
VIEW0000091,CUST00005,SUB000005,30-12-2024,Comedy,Tablet,57,Documentary,0
VIEW0000092,CUST00005,SUB000005,26-01-2024,Romance,Mobile,21,Short,1
VIEW0000093,CUST00005,SUB000005,31-05-2024,Horror,Smart TV,30,Documentary,1
VIEW0000094,CUST00005,SUB000005,22-07-2023,Horror,Smart TV,59,Series,1
VIEW0000095,CUST00005,SUB000005,20-05-2024,Romance,Mobile,108,Documentary,1
VIEW0000096,CUST00005,SUB000005,12-09-2023,Romance,Web,103,Series,1
VIEW0000097,CUST00005,SUB000005,24-10-2023,Sci-Fi,Tablet,68,Series,1
VIEW0000098,CUST00005,SUB000005,04-08-2023,Comedy,Web,76,Movie,1
VIEW0000099,CUST00005,SUB000005,29-09-2024,Documentary,Mobile,99,Short,0
VIEW0000100,CUST00005,SUB000005,15-12-2023,Horror,Tablet,66,Movie,0
VIEW0000101,CUST00005,SUB000005,09-10-2024,Romance,Web,21,Movie,1
VIEW0000102,CUST00005,SUB000005,15-10-2023,Drama,Web,115,Series,1
VIEW0000103,CUST00005,SUB000005,09-06-2023,Documentary,Mobile,125,Series,0
VIEW0000104,CUST00005,SUB000005,15-06-2024,Sci-Fi,Mobile,64,Movie,1
VIEW0000105,CUST00005,SUB000005,03-02-2024,Horror,Tablet,54,Short,0
VIEW0000106,CUST00005,SUB000005,30-03-2024,Drama,Web,62,Movie,0
VIEW0000107,CUST00005,SUB000005,27-09-2024,Sci-Fi,Tablet,120,Short,1
VIEW0000108,CUST00005,SUB000005,12-02-2024,Documentary,Tablet,14,Documentary,1
VIEW0000109,CUST00005,SUB000005,08-11-2023,Comedy,Smart TV,110,Series,0
VIEW0000110,CUST00005,SUB000005,08-06-2024,Drama,Tablet,12,Series,1
VIEW0000111,CUST00005,SUB000005,07-11-2023,Drama,Mobile,81,Short,1
VIEW0000112,CUST00005,SUB000005,15-12-2023,Drama,Smart TV,89,Short,1
VIEW0000113,CUST00005,SUB000005,07-02-2024,Comedy,Tablet,74,Movie,1
VIEW0000114,CUST00005,SUB000005,17-02-2024,Horror,Smart TV,51,Series,1
VIEW0000115,CUST00005,SUB000005,14-06-2024,Comedy,Web,132,Movie,0
VIEW0000116,CUST00005,SUB000005,06-12-2023,Action,Tablet,82,Short,1
VIEW0000117,CUST00005,SUB000005,18-09-2023,Romance,Tablet,46,Documentary,0
VIEW0000118,CUST00005,SUB000005,12-12-2023,Comedy,Smart TV,87,Series,0
VIEW0000119,CUST00005,SUB000005,28-09-2023,Comedy,Mobile,165,Documentary,1
VIEW0000120,CUST00005,SUB000005,30-07-2023,Romance,Mobile,12,Series,0
VIEW0000121,CUST00005,SUB000005,08-08-2024,Documentary,Mobile,21,Documentary,1
VIEW0000122,CUST00005,SUB000005,18-08-2023,Sci-Fi,Mobile,141,Short,0
VIEW0000123,CUST00005,SUB000005,21-09-2024,Romance,Smart TV,15,Movie,1
VIEW0000124,CUST00006,SUB000006,12-05-2024,Thriller,Mobile,176,Series,1
VIEW0000125,CUST00006,SUB000006,27-03-2024,Horror,Smart TV,154,Series,1
VIEW0000126,CUST00006,SUB000006,23-03-2024,Documentary,Web,81,Short,0
VIEW0000127,CUST00006,SUB000006,23-11-2024,Sci-Fi,Mobile,61,Series,1
VIEW0000128,CUST00006,SUB000006,06-09-2024,Horror,Smart TV,164,Short,1
VIEW0000129,CUST00006,SUB000006,09-04-2024,Comedy,Smart TV,56,Documentary,1
VIEW0000130,CUST00006,SUB000006,29-11-2024,Romance,Web,45,Documentary,1
VIEW0000131,CUST00006,SUB000006,05-02-2024,Horror,Smart TV,145,Short,1
VIEW0000132,CUST00006,SUB000006,28-06-2024,Drama,Smart TV,96,Short,0
VIEW0000133,CUST00006,SUB000006,13-12-2024,Horror,Web,104,Movie,1
VIEW0000134,CUST00006,SUB000006,27-06-2024,Thriller,Smart TV,95,Short,0
VIEW0000135,CUST00006,SUB000006,16-09-2024,Sci-Fi,Mobile,167,Movie,1
VIEW0000136,CUST00006,SUB000006,20-05-2024,Documentary,Tablet,180,Short,1
VIEW0000137,CUST00006,SUB000006,14-11-2024,Sci-Fi,Smart TV,59,Movie,1
VIEW0000138,CUST00006,SUB000006,08-02-2024,Thriller,Mobile,141,Series,1
VIEW0000139,CUST00006,SUB000006,14-02-2024,Comedy,Mobile,114,Movie,0
VIEW0000140,CUST00006,SUB000006,22-08-2024,Horror,Web,96,Movie,0
VIEW0000141,CUST00006,SUB000006,24-08-2024,Thriller,Mobile,168,Movie,1
VIEW0000142,CUST00006,SUB000006,25-11-2024,Thriller,Web,29,Series,1
VIEW0000143,CUST00006,SUB000006,18-06-2024,Comedy,Mobile,5,Movie,1
VIEW0000144,CUST00006,SUB000006,28-05-2024,Documentary,Mobile,7,Short,1
VIEW0000145,CUST00006,SUB000006,27-09-2024,Romance,Mobile,75,Series,0
VIEW0000146,CUST00006,SUB000006,31-01-2024,Action,Tablet,109,Documentary,1
VIEW0000147,CUST00006,SUB000006,25-09-2024,Drama,Smart TV,58,Series,1
VIEW0000148,CUST00006,SUB000006,23-03-2024,Comedy,Web,66,Series,1
VIEW0000149,CUST00006,SUB000006,24-05-2024,Horror,Smart TV,73,Short,1
VIEW0000150,CUST00006,SUB000006,06-07-2024,Comedy,Mobile,97,Short,0
VIEW0000151,CUST00006,SUB000006,15-10-2024,Sci-Fi,Mobile,124,Series,1
VIEW0000152,CUST00006,SUB000006,10-07-2024,Documentary,Mobile,109,Series,0
VIEW0000153,CUST00006,SUB000006,28-11-2024,Action,Tablet,127,Series,1
VIEW0000154,CUST00006,SUB000006,09-11-2024,Comedy,Smart TV,52,Series,1
VIEW0000155,CUST00006,SUB000006,24-01-2024,Horror,Tablet,42,Documentary,1
VIEW0000156,CUST00006,SUB000006,26-06-2024,Action,Tablet,7,Movie,1
VIEW0000157,CUST00006,SUB000006,23-01-2024,Action,Smart TV,16,Documentary,1
VIEW0000158,CUST00006,SUB000006,25-09-2024,Comedy,Web,42,Documentary,1
VIEW0000159,CUST00006,SUB000006,16-12-2024,Romance,Smart TV,156,Series,1
VIEW0000160,CUST00006,SUB000006,13-09-2024,Sci-Fi,Tablet,134,Documentary,1
VIEW0000161,CUST00006,SUB000006,22-05-2024,Action,Smart TV,64,Documentary,1
VIEW0000162,CUST00006,SUB000006,24-12-2024,Horror,Tablet,121,Movie,0
VIEW0000163,CUST00006,SUB000006,09-04-2024,Documentary,Web,118,Documentary,1
VIEW0000164,CUST00006,SUB000006,16-03-2024,Action,Web,109,Documentary,1
VIEW0000165,CUST00006,SUB000006,24-10-2024,Romance,Tablet,99,Movie,1
VIEW0000166,CUST00006,SUB000006,08-04-2024,Thriller,Smart TV,128,Series,1
VIEW0000167,CUST00006,SUB000006,13-04-2024,Romance,Tablet,14,Series,1
VIEW0000168,CUST00006,SUB000006,28-01-2024,Horror,Web,101,Series,0
VIEW0000169,CUST00008,SUB000008,26-11-2024,Thriller,Tablet,84,Short,1
VIEW0000170,CUST00008,SUB000008,02-05-2024,Documentary,Tablet,117,Short,1
VIEW0000171,CUST00008,SUB000008,02-10-2024,Romance,Mobile,133,Series,1
VIEW0000172,CUST00008,SUB000008,04-09-2024,Action,Mobile,155,Series,1
VIEW0000173,CUST00008,SUB000008,26-12-2023,Documentary,Tablet,77,Short,0
VIEW0000174,CUST00008,SUB000008,10-09-2024,Drama,Tablet,95,Short,1
VIEW0000175,CUST00008,SUB000008,04-06-2024,Thriller,Mobile,165,Series,1
VIEW0000176,CUST00008,SUB000008,28-05-2024,Comedy,Smart TV,12,Movie,1
VIEW0000177,CUST00008,SUB000008,11-01-2024,Documentary,Web,126,Documentary,1
VIEW0000178,CUST00008,SUB000008,19-11-2024,Comedy,Tablet,137,Documentary,1
VIEW0000179,CUST00008,SUB000008,26-03-2024,Thriller,Web,34,Short,0
VIEW0000180,CUST00008,SUB000008,01-04-2024,Horror,Web,15,Series,0
VIEW0000181,CUST00008,SUB000008,30-10-2024,Comedy,Smart TV,139,Documentary,1
VIEW0000182,CUST00008,SUB000008,02-05-2024,Thriller,Tablet,10,Short,0
VIEW0000183,CUST00008,SUB000008,30-11-2024,Thriller,Web,105,Series,0
VIEW0000184,CUST00008,SUB000008,21-09-2024,Drama,Tablet,86,Movie,1
VIEW0000185,CUST00008,SUB000008,05-01-2024,Romance,Tablet,21,Movie,0
VIEW0000186,CUST00008,SUB000008,22-11-2024,Horror,Smart TV,23,Series,1
VIEW0000187,CUST00008,SUB000008,10-10-2024,Drama,Smart TV,46,Documentary,1
VIEW0000188,CUST00008,SUB000008,27-03-2024,Action,Tablet,69,Documentary,0
VIEW0000189,CUST00008,SUB000008,22-12-2024,Horror,Web,142,Documentary,1
VIEW0000190,CUST00008,SUB000008,02-07-2024,Drama,Mobile,121,Movie,1
VIEW0000191,CUST00008,SUB000008,03-08-2024,Documentary,Smart TV,163,Movie,1
VIEW0000192,CUST00008,SUB000008,20-07-2024,Sci-Fi,Smart TV,136,Series,1
VIEW0000193,CUST00008,SUB000008,17-10-2024,Drama,Tablet,42,Documentary,1
VIEW0000194,CUST00008,SUB000008,14-05-2024,Drama,Smart TV,169,Movie,0
VIEW0000195,CUST00008,SUB000008,18-06-2024,Horror,Web,65,Series,1
VIEW0000196,CUST00008,SUB000008,13-09-2024,Thriller,Mobile,107,Documentary,1
VIEW0000197,CUST00008,SUB000008,08-10-2024,Action,Mobile,65,Documentary,1
VIEW0000198,CUST00008,SUB000008,28-11-2024,Romance,Tablet,20,Short,1
VIEW0000199,CUST00008,SUB000008,21-12-2024,Sci-Fi,Mobile,55,Movie,1
VIEW0000200,CUST00008,SUB000008,16-05-2024,Sci-Fi,Smart TV,42,Movie,0
VIEW0000201,CUST00008,SUB000008,20-12-2023,Thriller,Smart TV,162,Series,0
VIEW0000202,CUST00008,SUB000008,26-12-2023,Sci-Fi,Tablet,170,Movie,0
VIEW0000203,CUST00008,SUB000008,25-03-2024,Comedy,Web,111,Series,0
VIEW0000204,CUST00008,SUB000008,17-12-2023,Thriller,Mobile,132,Series,0
VIEW0000205,CUST00008,SUB000008,26-08-2024,Drama,Tablet,71,Series,0
VIEW0000206,CUST00008,SUB000008,21-10-2024,Romance,Tablet,30,Series,0
VIEW0000207,CUST00008,SUB000008,13-06-2024,Documentary,Mobile,47,Series,1
VIEW0000208,CUST00008,SUB000008,14-02-2024,Horror,Mobile,55,Movie,0
VIEW0000209,CUST00008,SUB000008,15-12-2024,Comedy,Smart TV,108,Series,0
VIEW0000210,CUST00008,SUB000008,25-01-2024,Drama,Smart TV,10,Series,0
VIEW0000211,CUST00008,SUB000008,02-02-2024,Sci-Fi,Web,17,Movie,1
VIEW0000212,CUST00008,SUB000008,13-01-2024,Comedy,Tablet,110,Movie,1
VIEW0000213,CUST00008,SUB000008,22-08-2024,Drama,Web,136,Series,1
VIEW0000214,CUST00008,SUB000008,21-02-2024,Thriller,Smart TV,100,Short,1
VIEW0000215,CUST00008,SUB000008,18-11-2024,Comedy,Web,176,Movie,0
VIEW0000216,CUST00008,SUB000008,16-08-2024,Documentary,Mobile,104,Series,1
VIEW0000217,CUST00008,SUB000008,23-12-2024,Romance,Web,126,Documentary,1
VIEW0000218,CUST00008,SUB000008,13-11-2024,Horror,Smart TV,117,Movie,1
VIEW0000219,CUST00008,SUB000008,20-07-2024,Comedy,Mobile,70,Movie,1
VIEW0000220,CUST00008,SUB000008,05-04-2024,Sci-Fi,Mobile,178,Series,1
VIEW0000221,CUST00010,SUB000010,18-10-2022,Drama,Mobile,101,Movie,1
VIEW0000222,CUST00010,SUB000010,29-08-2024,Romance,Mobile,16,Documentary,1
VIEW0000223,CUST00010,SUB000010,05-03-2023,Sci-Fi,Web,6,Movie,0
VIEW0000224,CUST00010,SUB000010,17-11-2023,Romance,Mobile,37,Short,1
VIEW0000225,CUST00010,SUB000010,12-04-2023,Drama,Tablet,29,Short,1
VIEW0000226,CUST00010,SUB000010,16-03-2023,Thriller,Tablet,5,Series,1
VIEW0000227,CUST00010,SUB000010,12-05-2024,Documentary,Web,51,Series,1
VIEW0000228,CUST00010,SUB000010,19-05-2024,Thriller,Tablet,117,Documentary,1
VIEW0000229,CUST00010,SUB000010,12-12-2023,Sci-Fi,Web,81,Series,1
VIEW0000230,CUST00010,SUB000010,19-03-2024,Drama,Tablet,20,Movie,1
VIEW0000231,CUST00010,SUB000010,17-07-2024,Sci-Fi,Mobile,178,Series,1
VIEW0000232,CUST00010,SUB000010,27-04-2023,Sci-Fi,Smart TV,39,Short,0
VIEW0000233,CUST00010,SUB000010,21-11-2023,Thriller,Mobile,134,Documentary,1
VIEW0000234,CUST00010,SUB000010,04-11-2022,Action,Mobile,108,Movie,0
VIEW0000235,CUST00010,SUB000010,27-09-2023,Action,Smart TV,22,Movie,0
VIEW0000236,CUST00010,SUB000010,12-10-2022,Drama,Web,103,Movie,1
VIEW0000237,CUST00010,SUB000010,05-12-2023,Action,Tablet,35,Movie,0
VIEW0000238,CUST00010,SUB000010,24-06-2024,Comedy,Tablet,125,Short,1
VIEW0000239,CUST00010,SUB000010,06-09-2024,Documentary,Tablet,135,Movie,1
VIEW0000240,CUST00010,SUB000010,26-01-2023,Thriller,Mobile,116,Series,0
VIEW0000241,CUST00010,SUB000010,09-12-2023,Thriller,Smart TV,144,Series,1
VIEW0000242,CUST00010,SUB000010,16-04-2023,Documentary,Smart TV,152,Movie,0
VIEW0000243,CUST00010,SUB000010,25-03-2023,Documentary,Smart TV,129,Movie,1
VIEW0000244,CUST00010,SUB000010,07-07-2023,Drama,Smart TV,90,Documentary,1
VIEW0000245,CUST00010,SUB000010,26-09-2023,Horror,Smart TV,65,Series,1
VIEW0000246,CUST00010,SUB000010,09-04-2024,Romance,Tablet,155,Documentary,1
VIEW0000247,CUST00010,SUB000010,28-07-2022,Drama,Smart TV,141,Documentary,1
VIEW0000248,CUST00010,SUB000010,01-12-2023,Thriller,Web,104,Series,1
VIEW0000249,CUST00010,SUB000010,27-10-2022,Action,Web,115,Series,1
VIEW0000250,CUST00010,SUB000010,20-07-2024,Romance,Web,69,Movie,1
VIEW0000251,CUST00010,SUB000010,13-07-2024,Sci-Fi,Web,22,Documentary,1
VIEW0000252,CUST00010,SUB000010,14-10-2023,Drama,Mobile,22,Documentary,1
VIEW0000253,CUST00010,SUB000010,08-05-2024,Thriller,Web,77,Documentary,1
VIEW0000254,CUST00010,SUB000010,26-03-2023,Comedy,Smart TV,147,Documentary,1
VIEW0000255,CUST00010,SUB000010,26-09-2024,Thriller,Mobile,53,Movie,1
VIEW0000256,CUST00010,SUB000010,13-11-2023,Documentary,Web,138,Movie,0
VIEW0000257,CUST00010,SUB000010,10-06-2024,Sci-Fi,Smart TV,14,Documentary,1
VIEW0000258,CUST00010,SUB000010,29-06-2024,Romance,Web,26,Movie,0
VIEW0000259,CUST00010,SUB000010,24-10-2023,Sci-Fi,Tablet,59,Short,1
VIEW0000260,CUST00010,SUB000010,03-01-2024,Horror,Tablet,91,Documentary,1
VIEW0000261,CUST00010,SUB000010,14-07-2022,Sci-Fi,Smart TV,43,Series,0
VIEW0000262,CUST00011,SUB000011,26-04-2024,Sci-Fi,Smart TV,126,Documentary,0
VIEW0000263,CUST00011,SUB000011,25-06-2024,Action,Mobile,87,Series,1
VIEW0000264,CUST00011,SUB000011,30-12-2024,Action,Tablet,74,Series,1
VIEW0000265,CUST00011,SUB000011,09-08-2024,Comedy,Mobile,31,Documentary,1
VIEW0000266,CUST00011,SUB000011,03-11-2024,Documentary,Mobile,46,Short,0
VIEW0000267,CUST00011,SUB000011,13-08-2024,Drama,Mobile,99,Series,0
VIEW0000268,CUST00011,SUB000011,07-04-2024,Drama,Web,131,Movie,1
VIEW0000269,CUST00011,SUB000011,14-07-2024,Horror,Tablet,50,Movie,1
VIEW0000270,CUST00011,SUB000011,22-06-2024,Documentary,Web,71,Short,1
VIEW0000271,CUST00011,SUB000011,12-04-2024,Horror,Tablet,71,Short,1
VIEW0000272,CUST00011,SUB000011,24-11-2024,Drama,Tablet,42,Series,0
VIEW0000273,CUST00011,SUB000011,24-06-2024,Sci-Fi,Web,116,Short,0
VIEW0000274,CUST00011,SUB000011,09-10-2024,Sci-Fi,Tablet,91,Documentary,1
VIEW0000275,CUST00011,SUB000011,25-12-2024,Drama,Mobile,46,Movie,1
VIEW0000276,CUST00011,SUB000011,06-10-2024,Horror,Smart TV,180,Short,1
VIEW0000277,CUST00011,SUB000011,08-08-2024,Action,Smart TV,10,Documentary,0
VIEW0000278,CUST00011,SUB000011,26-08-2024,Thriller,Web,140,Documentary,1
VIEW0000279,CUST00011,SUB000011,22-11-2024,Action,Tablet,172,Short,0
VIEW0000280,CUST00011,SUB000011,24-07-2024,Thriller,Smart TV,163,Series,1
VIEW0000281,CUST00011,SUB000011,30-06-2024,Thriller,Smart TV,69,Series,1
VIEW0000282,CUST00011,SUB000011,22-06-2024,Action,Mobile,125,Movie,1
